ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
24,2016-04-25 to 2016-05-01,Group 8 - 6.2 - I74,2,7,121,59,7,72.479339,20,0.518757,0.329752,0.2,1.5,0.151083,115302,18527,0.889064,0.87004,5147.203019,735.314717,2.381343,7.68028,4980.676007,0.967647,2.591826,0.059779,0,0,0
3,2016-05-02 to 2016-05-08,Group 5 - 4.1 - I29,1,7,14,10,4,14.285714,5,0.995,0.95,0.75,2.2,0.45,3627,18710.14286,0.027686,0.019841,2429.389806,347.055687,1.112944,5.755484,188.699076,0.077673,3.122395,0.001255,0,0,0
4,2016-05-02 to 2016-05-08,Group 5 - 4.1 - I29,2,7,13,1,6,13.461538,5,0.422857,0.392308,0.4,0.9,0,1863,16205.42857,0.016416,0.017361,2052.2137,293.173386,1.085467,4.337405,73.956943,0.036038,2.382889,0,0,0,0
5,2016-05-02 to 2016-05-08,Group 5 - 4.1 - I80,1,7,6,2,3,17.5,5,0.609524,0.466667,0.3,1.4,0.238095,3107,23517,0.018873,0.010417,1916.24526,273.749323,0.69843,4.225841,99.362786,0.051853,1.918941,0,0,0,0
6,2016-05-02 to 2016-05-08,Group 5 - 4.1 - I80,2,7,5,2,2,16,5,0.6,0.6,0.2,1.4,0.1875,1640,27853.57143,0.008406,0.007937,1945.398634,277.914091,0.598664,3.440846,55.336934,0.028445,2.025757,0,0,0,0
7,2016-05-02 to 2016-05-08,Group 5b and 5.4,1,7,4,4,3,6.25,5,0.38,0.4,0.4,0.7,0,379,10917,0.004955,0.00248,516.821405,73.831629,0.405783,1.250301,6.072458,0.01175,0.962185,0,0,0,0
8,2016-05-02 to 2016-05-08,Group 5b and 5.4,2,7,7,1,5,5.714286,5,0.325,0.357143,0.1,0.9,0,158,10301.85714,0.002186,0.003968,468.912065,66.987438,0.390153,1.319713,2.222982,0.004741,0.845955,0,0,0,0
9,2016-05-02 to 2016-05-08,Group 5f,2,7,9,1,4,5,5,0.3,0.3,0.2,0.8,0,63,5785.428571,0.001556,0.004464,309.033291,44.147613,0.457853,1.879559,0.846303,0.002739,0.806003,0,0,0,0
10,2016-05-02 to 2016-05-08,Group 5f,1,7,71,52,7,7.746479,5,0.335455,0.321127,0.2,1.7,0.063636,3535,7664.714286,0.065883,0.054563,825.963191,117.994742,0.923685,3.082564,77.42095,0.093734,1.314168,0,0,0,0
11,2016-05-02 to 2016-05-08,Group 6 - 3.2 3a 3b - I29,1,7,102,60,7,13.872549,5,0.724028,0.703922,0.5,2.2,0.268551,14456,13199.57143,0.156449,0.140377,2457.104094,351.014871,1.595577,6.119801,558.709551,0.227385,2.319037,0.001337,0,0,0
12,2016-05-02 to 2016-05-08,Group 6 - 3.2 3a 3b - I29,2,7,247,109,7,13.54251,10,0.715695,0.698381,0.6,3.3,0.203288,23932,14852,0.23019,0.331845,4031.314124,575.902018,2.326584,28.988584,1294.335857,0.32107,3.245137,0.010132,0.004712,0.020472,0.020472
13,2016-05-02 to 2016-05-08,Group 6 - 3.2 3a 3b - US20,1,7,2,0,2,5,5,0.2,0.2,0.2,0.2,0,18,9838.142857,0.000257,0.000992,125.772293,17.96747,0.109579,0.625513,0.125715,0.001,0.426958,0,0,0,0
